,heuristic_param,seed,n_gen,reward,accuracy,variance,n_steps_proc,n_steps_acc,n_steps
0,5,2,1,-19.944706704421677,0.26875,280.5008417335331,5360,20870,26230
1,5,2,2,134.28819531563522,0.26875,260.2502117035,10720,20870,31590
2,5,2,3,6.810286624721874,0.26875,427.9914346846565,16080,20870,36950
3,5,2,4,9.614727821230144,0.26875,363.4155306974902,21440,20870,42310
4,5,2,5,-21.320316086135712,0.26875,176.21451240636418,26800,20870,47670
5,5,2,6,9.6142289481817,0.26875,247.5412050860513,32160,20870,53030
6,5,2,7,18.530008747491543,0.26875,280.27713304286726,37520,20870,58390
7,5,2,8,9.629175399767927,0.26875,287.27356905458475,42880,20870,63750
8,5,2,9,-19.73883073108201,0.26875,471.6781708467121,48240,20870,69110
9,5,2,10,-19.944706704421677,0.26875,395.3958353273237,53600,20870,74470
10,5,2,11,-9.97608617907652,0.26875,271.48913680847005,58960,20870,79830
11,5,2,12,16.617182887063038,0.26875,315.818455013215,64320,20870,85190
12,5,2,13,10.218719545396578,0.26875,73.86780084733147,69680,20870,90550
13,5,2,14,27.7032954766645,0.15625,180.07319748056966,72800,41740,114540
14,5,2,15,27.7032954766645,0.15625,166.2177631318636,75920,41740,117660
15,5,2,16,-19.944706704421677,0.15625,154.00855862638227,79040,41740,120780
16,5,2,17,19.04290550875077,0.15625,96.69930329237316,82160,41740,123900
17,5,2,18,27.678081146104184,0.15625,278.0402015956281,85280,41740,127020
18,5,2,19,9.629175399767927,0.15625,36.37172128239227,88400,41740,130140
19,5,2,20,14.003735728845204,0.15625,118.8274755063484,91520,41740,133260
20,5,2,21,32.32572722672588,0.15625,92.35408062864248,94640,41740,136380
21,5,2,22,27.7032954766645,0.15625,122.07811562301131,97760,41740,139500
22,5,2,23,39.40763062233388,0.15625,78.46357045162793,100880,41740,142620
23,5,2,24,27.7032954766645,0.15625,81.22910342846978,104000,41740,145740
24,5,2,25,24.89351422136943,0.15625,162.19009886699033,107120,41740,148860
25,5,2,26,27.44407286979193,0.15625,118.78778905059816,110240,41740,151980
26,5,2,27,10.584159904245636,0.15625,37.3438559614042,113360,41740,155100
27,5,2,28,11.992964881135167,0.15625,114.42116075291062,116480,41740,158220
28,5,2,29,27.41402781493216,0.15625,145.24372369924214,119600,41740,161340
29,5,2,30,12.160991640911002,0.15625,321.29682526709087,122720,41740,164460
30,5,2,31,28.070576318180173,0.15625,117.81796999477822,125840,41740,167580
31,5,2,32,24.47786125212783,0.15625,177.32560394933964,128960,41740,170700
32,5,2,33,29.58152765109558,0.15625,75.45687016025326,132080,41740,173820
33,5,2,34,-8.426764540634991,0.15625,259.6755645688176,135200,41740,176940
34,5,2,35,22.92995637587552,0.26875,181.255965874516,140560,62610,203170
35,5,2,36,28.62827783503713,0.26875,111.3071199290114,145920,62610,208530
36,5,2,37,10.382825531155332,0.26875,53.097629788388375,151280,62610,213890
37,5,2,38,35.34088250113575,0.26875,42.00672309358001,156640,62610,219250
38,5,2,39,30.26964248381004,0.26875,290.9852849939358,162000,62610,224610
39,5,2,40,23.462378970489137,0.26875,128.94065267064838,167360,62610,229970
40,5,2,41,28.83945143657145,0.26875,369.0472905357765,172720,62610,235330
41,5,2,42,15.929434732015729,0.26875,228.75629560694836,178080,62610,240690
42,5,2,43,-1.72536157297801,0.26875,80.65383759712152,183440,62610,246050
43,5,2,44,21.193908684088512,0.26875,48.42917471874976,188800,62610,251410
44,5,2,45,17.78983535974246,0.26875,74.98370334031905,194160,62610,256770
45,5,2,46,28.7931235639622,0.26875,163.62993861254216,199520,62610,262130
46,5,2,47,22.34112035641312,0.26875,74.47029879850552,204880,62610,267490
47,5,2,48,30.305008834717995,0.26875,127.53397856385388,210240,62610,272850
48,5,2,49,15.629555610497407,0.26875,58.88784522823473,215600,62610,278210
49,5,2,50,40.39599497214779,0.94375,52.00518954006551,234460,94730,329190
50,5,2,51,27.70488472407566,0.94375,56.11304420699918,253320,94730,348050
51,5,2,52,42.16100976794073,0.94375,116.29603431587704,272180,94730,366910
52,5,2,53,40.06492820853036,0.94375,109.52272888847467,291040,94730,385770
53,5,2,54,37.910518923955706,0.94375,62.87967628854951,309900,94730,404630
54,5,2,55,34.96888857909364,0.94375,43.765156880687925,328760,94730,423490
55,5,2,56,17.173218546545304,0.38125,27.928332191649595,336380,117850,454230
56,5,2,57,22.250650753769516,0.38125,111.61529803736168,344000,117850,461850
57,5,2,58,35.37225141258807,0.38125,79.9272668731422,351620,117850,469470
58,5,2,59,37.88890169509624,0.38125,50.31613779742016,359240,117850,477090
59,5,2,60,43.66605961582069,0.38125,101.36991728028993,366860,117850,484710
60,5,2,61,45.76024553344359,0.38125,70.5063872440782,374480,117850,492330
61,5,2,62,9.818912143115188,0.38125,47.56018569200178,382100,117850,499950
62,5,2,63,14.0596380406373,0.38125,63.03676538662464,389720,117850,507570
63,5,2,64,21.934986020891493,0.38125,25.931743138834683,397340,117850,515190
64,5,2,65,29.749374150756942,0.83125,18.71881916712646,413960,149970,563930
65,5,2,66,39.5407416078401,0.83125,76.86597720381472,430580,149970,580550
66,5,2,67,30.999968612056733,0.83125,59.14597882065008,447200,149970,597170
67,5,2,68,34.15747412266033,0.83125,124.1745093784175,463820,149970,613790
68,5,2,69,29.57812264775298,0.83125,77.802606659366,480440,149970,630410
69,5,2,70,40.71217632161377,0.15625,33.77040977542709,483560,170840,654400
70,5,2,71,31.621832881745007,0.15625,43.5634097545038,486680,170840,657520
71,5,2,72,40.08039587938613,0.15625,29.49432055006344,489800,170840,660640
72,5,2,73,39.48215246858321,0.15625,54.0391854142592,492920,170840,663760
73,5,2,74,34.65937183871483,0.15625,44.57025470841845,496040,170840,666880
74,5,2,75,25.78289762193753,0.15625,44.1708104879943,499160,170840,670000
75,5,2,76,37.02654721197506,0.15625,15.242803600169598,502280,170840,673120
76,5,2,77,40.45285640106808,0.15625,5.157437142891789,505400,170840,676240
77,5,2,78,35.80918096143775,0.15625,48.35930291863489,508520,170840,679360
78,5,2,79,29.2993671667146,0.15625,16.127924711082553,511640,170840,682480
79,5,2,80,14.882341119531322,0.15625,33.73120316572189,514760,170840,685600
80,5,2,81,28.17009972788528,0.15625,25.379367273067736,517880,170840,688720
81,5,2,82,34.492528646565525,0.15625,18.020500368617824,521000,170840,691840
82,5,2,83,39.54439808615266,0.15625,14.590130269437632,524120,170840,694960
83,5,2,84,38.33824014763824,0.15625,18.85040172035918,527240,170840,698080
84,5,2,85,38.0072442423504,0.15625,17.85490999496447,530360,170840,701200
85,5,2,86,37.28994192811181,0.15625,11.013417461485322,533480,170840,704320
86,5,2,87,39.63516486948701,0.15625,4.288476471569847,536600,170840,707440
87,5,2,88,41.0333776384788,0.15625,32.57579677540709,539720,170840,710560
88,5,2,89,34.5815357738551,0.15625,22.54970853790696,542840,170840,713680
89,5,2,90,40.33415807949226,0.15625,3.65281166000554,545960,170840,716800
90,5,2,91,35.65444403780056,0.26875,55.22916503430845,551320,191710,743030
91,5,2,92,38.1114001900486,0.26875,16.128334385058643,556680,191710,748390
92,5,2,93,27.054787915242805,0.26875,122.25352339523197,562040,191710,753750
93,5,2,94,27.270222866187744,0.26875,21.05365107749461,567400,191710,759110
94,5,2,95,39.83130493978423,0.26875,71.06554933391371,572760,191710,764470
95,5,2,96,38.90450411950134,0.26875,28.44590129701379,578120,191710,769830
96,5,2,97,40.1923039975783,0.26875,105.30900146366837,583480,191710,775190
97,5,2,98,39.18810686698637,0.26875,58.625655986712594,588840,191710,780550
98,5,2,99,42.207824073492745,0.26875,4.850654043607528,594200,191710,785910
99,5,2,100,41.30084384107656,0.26875,8.24000502511654,599560,191710,791270
100,5,2,101,39.09432165120891,0.26875,14.381648158131412,604920,191710,796630
101,5,2,102,41.95998061974306,0.26875,12.6714786041521,610280,191710,801990
102,5,2,103,35.98230466943035,0.26875,33.865301302585074,615640,191710,807350
103,5,2,104,29.30089399232688,0.26875,12.145415201284823,621000,191710,812710
104,5,2,105,30.86435252017489,0.26875,12.329924000062643,626360,191710,818070
105,5,2,106,32.580294723718325,0.26875,162.1335313927384,631720,191710,823430
106,5,2,107,37.48097738711861,0.26875,22.25520498160636,637080,212580,849660
107,5,2,108,40.38558341422108,0.26875,18.089136005297085,642440,212580,855020
108,5,2,109,27.77680006999356,0.26875,12.439991742167209,647800,212580,860380
109,5,2,110,40.6472093922361,0.26875,16.17460576927933,653160,212580,865740
110,5,2,111,30.982148554126148,0.26875,7.042188500240845,658520,212580,871100
111,5,2,112,26.810674797071584,0.26875,22.82737197186406,663880,212580,876460
112,5,2,113,38.19624476782951,0.26875,16.825659605211406,669240,212580,881820
113,5,2,114,38.955031273784826,0.26875,11.126039073902662,674600,212580,887180
114,5,2,115,35.89417594035659,0.26875,5.643161899054095,679960,212580,892540
115,5,2,116,34.22940376495375,0.26875,14.50267745468872,685320,212580,897900
116,5,2,117,38.33637622468536,0.26875,11.570165297530233,690680,212580,903260
117,5,2,118,27.515454384742903,0.26875,9.968623987849243,696040,212580,908620
118,5,2,119,38.36033648333186,0.26875,12.208578735216063,701400,212580,913980
119,5,2,120,39.81470336865903,0.26875,11.892034489430856,706760,212580,919340
120,5,2,121,36.64831604424579,0.26875,68.06255852602973,712120,212580,924700
121,5,2,122,25.71155362283924,0.26875,17.131652672974592,717480,233450,950930
122,5,2,123,31.927468137157945,0.26875,41.12314095403272,722840,233450,956290
123,5,2,124,38.0683810359851,0.26875,12.498876235801768,728200,233450,961650
124,5,2,125,36.47605633099611,0.26875,18.921249271975743,733560,233450,967010
125,5,2,126,27.65377769443476,0.26875,10.52087858517073,738920,233450,972370
126,5,2,127,41.75612201735606,0.26875,31.939888950367305,744280,233450,977730
127,5,2,128,39.71704441284129,0.26875,9.15957443964227,749640,233450,983090
128,5,2,129,37.89834716728559,0.26875,15.65893497924407,755000,233450,988450
129,5,2,130,25.845379940802268,0.26875,15.101262488036712,760360,233450,993810
130,5,2,131,40.38244754211088,0.26875,19.67107531145009,765720,233450,999170
131,5,2,132,41.83593374019885,0.26875,11.147264722403056,771080,233450,1004530
132,5,3,1,4.226221606031332,0.15625,216.73264722398105,3120,20870,23990
133,5,3,2,5.245684675024253,0.15625,174.7365993700741,6240,20870,27110
134,5,3,3,9.6142289481817,0.15625,126.90600912081126,9360,20870,30230
135,5,3,4,-22.048370493139764,0.15625,264.91158468966387,12480,20870,33350
136,5,3,5,17.91141527306101,0.15625,313.5026941610431,15600,20870,36470
137,5,3,6,-24.049800867944445,0.15625,236.46046768512664,18720,20870,39590
138,5,3,7,-9.660738877665,0.15625,290.7788798911382,21840,20870,42710
139,5,3,8,13.350231153876408,0.15625,189.97125652645704,24960,20870,45830
140,5,3,9,-14.63944604490082,0.15625,196.2856104932083,28080,20870,48950
141,5,3,10,9.6142289481817,0.15625,254.9000056833964,31200,20870,52070
142,5,3,11,-10.935473944900057,0.15625,239.30621549935896,34320,20870,55190
143,5,3,12,-8.565746787729017,0.15625,250.5131466120018,37440,20870,58310
144,5,3,13,9.6142289481817,0.15625,176.8058772409155,40560,20870,61430
145,5,3,14,31.736117856285137,0.15625,202.63710234145157,43680,20870,64550
146,5,3,15,31.403114267335383,0.15625,256.6446234641854,46800,20870,67670
147,5,3,16,-19.950889109268857,0.15625,239.1777850454345,49920,20870,70790
148,5,3,17,27.7032954766645,0.15625,286.9910767300002,53040,20870,73910
149,5,3,18,24.209019514386643,0.15625,202.14942393573887,56160,20870,77030
150,5,3,19,27.7032954766645,0.15625,244.13926002696743,59280,20870,80150
151,5,3,20,13.442593764692026,0.15625,264.568619491156,62400,20870,83270
152,5,3,21,22.26890809203029,0.15625,374.5861787470185,65520,20870,86390
153,5,3,22,22.13549454621085,0.94375,170.90971835622025,84380,52990,137370
154,5,3,23,2.983592479486825,0.94375,366.12646405879184,103240,52990,156230
155,5,3,24,24.120678564119643,0.94375,234.2133260446342,122100,52990,175090
156,5,3,25,27.7032954766645,0.94375,207.32243626838448,140960,52990,193950
157,5,3,26,27.7032954766645,0.94375,648.8232326660382,159820,52990,212810
158,5,3,27,-18.47994518276631,0.15625,345.3976835677643,162940,73860,236800
159,5,3,28,27.7032954766645,0.15625,194.0851766103069,166060,73860,239920
160,5,3,29,27.7032954766645,0.15625,17.71955254175939,169180,73860,243040
161,5,3,30,9.6142289481817,0.15625,244.34340625843052,172300,73860,246160
162,5,3,31,27.7032954766645,0.15625,40.82556737790641,175420,73860,249280
163,5,3,32,17.145959140911383,0.15625,98.49875097403331,178540,73860,252400
164,5,3,33,27.7032954766645,0.15625,23.831045160280247,181660,73860,255520
165,5,3,34,27.7032954766645,0.15625,101.29590721040832,184780,73860,258640
166,5,3,35,27.7032954766645,0.15625,101.10778364105528,187900,73860,261760
167,5,3,36,27.7032954766645,0.15625,152.93624528786006,191020,73860,264880
168,5,3,37,27.7032954766645,0.15625,19.327110081694,194140,73860,268000
169,5,3,38,27.7032954766645,0.15625,0.2824795698287149,197260,73860,271120
170,5,3,39,27.7032954766645,0.15625,8.203974975050443,200380,73860,274240
171,5,3,40,24.86887651294533,0.15625,150.65935365770486,203500,73860,277360
172,5,3,41,18.430166937847293,0.15625,205.8574841882152,206620,73860,280480
173,5,3,42,27.7032954766645,0.15625,241.94454346657145,209740,73860,283600
174,5,3,43,26.15307749686488,0.15625,252.05221453673545,212860,73860,286720
175,5,3,44,17.145959140911383,0.15625,206.35884654801924,215980,73860,289840
176,5,3,45,27.7032954766645,0.15625,122.6982485714156,219100,73860,292960
177,5,3,46,27.7032954766645,0.15625,112.08287556402487,222220,73860,296080
178,5,3,47,27.7032954766645,0.15625,258.4201693825308,225340,73860,299200
179,5,3,48,-20.869614144847013,0.15625,176.4819516970522,228460,94730,323190
180,5,3,49,-19.768756899171464,0.15625,240.324476221854,231580,94730,326310
181,5,3,50,-29.260581023770342,0.15625,396.3731109706414,234700,94730,329430
182,5,3,51,32.65664783364084,0.15625,226.23192710225325,237820,94730,332550
183,5,3,52,24.86887651294533,0.15625,137.2296231986449,240940,94730,335670
184,5,3,53,11.699445891616564,0.15625,108.19071481653177,244060,94730,338790
185,5,3,54,15.805822820431228,0.15625,252.63961058315573,247180,94730,341910
186,5,3,55,27.7032954766645,0.15625,273.1211632947532,250300,94730,345030
187,5,3,56,-28.41443803364217,0.15625,207.99554955554063,253420,94730,348150
188,5,3,57,-9.767993506498351,0.15625,106.17851396100257,256540,94730,351270
189,5,3,58,27.7032954766645,0.15625,128.90067907966835,259660,94730,354390
190,5,3,59,9.6142289481817,0.15625,25.750175750322647,262780,94730,357510
191,5,3,60,27.7032954766645,0.15625,216.99800535461395,265900,94730,360630
192,5,3,61,27.788229620584424,0.15625,196.78593417051064,269020,94730,363750
193,5,3,62,27.7032954766645,0.15625,73.72964318108146,272140,94730,366870
194,5,3,63,20.706866172244343,0.15625,111.15252794064304,275260,94730,369990
195,5,3,64,27.7032954766645,0.15625,296.0311464237315,278380,94730,373110
196,5,3,65,23.13327637730111,0.15625,190.9088916164265,281500,94730,376230
197,5,3,66,27.7032954766645,0.15625,21.10320356666625,284620,94730,379350
198,5,3,67,27.7032954766645,0.15625,128.24961396157292,287740,94730,382470
199,5,3,68,29.075232147325544,0.15625,97.24571447428669,290860,94730,385590
200,5,3,69,36.61345214896811,0.15625,50.291898720118056,293980,94730,388710
201,5,3,70,27.7032954766645,0.15625,135.4446229282075,297100,115600,412700
202,5,3,71,-15.195793479777048,0.15625,254.4617601568904,300220,115600,415820
203,5,3,72,23.65054276615409,0.15625,168.83727541632183,303340,115600,418940
204,5,3,73,18.640254162897318,0.15625,165.4135893036295,306460,115600,422060
