,accuracy,train_seed,n_gen,n_ep,n_steps,reward
0,0.3,2,0,20,6000,41.98921274003339
1,0.3,2,1,40,12000,-62.696034992047046
2,0.3,2,2,60,18000,-19.31387352162659
3,0.3,2,3,80,24000,9.307961367115944
4,0.3,2,4,100,30000,26.618930354549622
5,0.3,2,5,120,36000,13.832360842567502
6,0.3,2,6,140,42000,-14.309234403796331
7,0.3,2,7,160,48000,9.617813097829387
8,0.3,2,8,180,54000,25.19873399509415
9,0.3,2,9,200,60000,9.6142289481817
10,0.3,2,10,220,66000,12.491109549945474
11,0.3,2,11,240,72000,10.954553956745835
12,0.3,2,12,260,78000,26.52410447600739
13,0.3,2,13,280,84000,-11.75292118677148
14,0.3,2,14,300,90000,26.4821687379675
15,0.3,2,15,320,96000,26.455536946324145
16,0.3,2,16,340,102000,5.806529966242373
17,0.3,2,17,360,108000,9.6142289481817
18,0.3,2,18,380,114000,25.91204827110172
19,0.3,2,19,400,120000,20.907038767079065
20,0.3,2,20,420,126000,29.80273115943593
21,0.3,2,21,440,132000,21.989661319410967
22,0.3,2,22,460,138000,17.899884855294083
23,0.3,2,23,480,144000,-10.508281169198709
24,0.3,2,24,500,150000,27.204990371411487
25,0.3,2,25,520,156000,28.342673506334755
26,0.3,2,26,540,162000,30.20159309843776
27,0.3,2,27,560,168000,26.6243081996984
28,0.3,2,28,580,174000,36.31421343586955
29,0.3,2,29,600,180000,29.4013972331406
30,0.3,2,30,620,186000,34.68216286629955
31,0.3,2,31,640,192000,27.7032954766645
32,0.3,2,32,660,198000,34.16025198063274
33,0.3,2,33,680,204000,38.615535832039846
34,0.3,2,34,700,210000,20.957023435270973
35,0.3,2,35,720,216000,29.085091994211933
36,0.3,2,36,740,222000,30.49910092613421
37,0.3,2,37,760,228000,28.608010038941792
38,0.3,2,38,780,234000,24.718045313467893
39,0.3,2,39,800,240000,39.52197226777141
40,0.3,2,40,820,246000,37.57101031494066
41,0.3,2,41,840,252000,27.01075372780291
42,0.3,2,42,860,258000,28.73250958510285
43,0.3,2,43,880,264000,39.68510609260078
44,0.3,2,44,900,270000,29.502711899801703
45,0.3,2,45,920,276000,38.837427545680406
46,0.3,2,46,940,282000,31.065009070128337
47,0.3,2,47,960,288000,36.89012217451624
48,0.3,2,48,980,294000,40.09174897267231
49,0.3,2,49,1000,300000,37.21118716737824
50,0.3,2,50,1020,306000,18.061207709979392
51,0.3,2,51,1040,312000,37.602930466449
52,0.3,2,52,1060,318000,34.976500741607296
53,0.3,2,53,1080,324000,38.29980447583182
54,0.3,2,54,1100,330000,34.70732456220712
55,0.3,2,55,1120,336000,38.438229829049504
56,0.3,2,56,1140,342000,100.84265104935056
57,0.3,2,57,1160,348000,28.71269843890808
58,0.3,2,58,1180,354000,140.74175418453115
59,0.3,2,59,1200,360000,32.987031662658744
60,0.3,2,60,1220,366000,34.32313646995505
61,0.3,2,61,1240,372000,43.22976930838094
62,0.3,2,62,1260,378000,151.3092219896524
63,0.3,2,63,1280,384000,146.47146914145384
64,0.3,2,64,1300,390000,84.60396454853768
65,0.3,2,65,1320,396000,70.57750034234917
66,0.3,2,66,1340,402000,181.09299447302507
67,0.3,2,67,1360,408000,45.23673716976448
68,0.3,2,68,1380,414000,90.3914705372556
69,0.3,2,69,1400,420000,-18.206637339385928
70,0.3,2,70,1420,426000,125.6499968914388
71,0.3,2,71,1440,432000,162.78443803678766
72,0.3,2,72,1460,438000,240.33503188781083
73,0.3,2,73,1480,444000,155.00188000530537
74,0.3,2,74,1500,450000,111.8576692995886
75,0.3,2,75,1520,456000,182.4866250497444
76,0.3,2,76,1540,462000,265.77193867631973
77,0.3,2,77,1560,468000,139.07082154389997
78,0.3,2,78,1580,474000,253.9942289417351
79,0.3,2,79,1600,480000,173.47948164323532
80,0.3,2,80,1620,486000,9.234245713568589
81,0.3,2,81,1640,492000,6.86918834785463
82,0.3,2,82,1660,498000,36.04566946192732
83,0.3,2,83,1680,504000,137.982635886701
84,0.3,2,84,1700,510000,226.5198007235365
85,0.3,2,85,1720,516000,231.4294069480836
86,0.3,2,86,1740,522000,143.5054084355206
87,0.3,2,87,1760,528000,147.45776451404603
88,0.3,2,88,1780,534000,121.82790526192116
89,0.3,2,89,1800,540000,20.669784034421266
90,0.3,2,90,1820,546000,197.9501509598382
91,0.3,2,91,1840,552000,238.00669311501605
92,0.3,2,92,1860,558000,111.7101407527455
93,0.3,2,93,1880,564000,-45.497210237925664
94,0.3,2,94,1900,570000,26.96978810269544
95,0.3,2,95,1920,576000,236.27047618003263
96,0.3,2,96,1940,582000,89.12644250402482
97,0.3,2,97,1960,588000,141.083673821641
98,0.3,2,98,1980,594000,230.7838029359334
99,0.3,2,99,2000,600000,35.97924870374191
100,0.3,2,100,2020,606000,98.98785562321476
101,0.3,2,101,2040,612000,-48.65713490285208
102,0.3,2,102,2060,618000,55.69294725607555
103,0.3,2,103,2080,624000,172.49758518663003
104,0.3,2,104,2100,630000,225.1975010112704
105,0.3,2,105,2120,636000,240.4371033958601
106,0.3,2,106,2140,642000,161.54678984861198
107,0.3,2,107,2160,648000,171.04836951376166
108,0.3,2,108,2180,654000,228.61182933241847
109,0.3,2,109,2200,660000,199.2512831166821
110,0.3,2,110,2220,666000,-32.321082096348775
111,0.3,2,111,2240,672000,191.32261978430915
112,0.3,2,112,2260,678000,246.2223543200792
113,0.3,2,113,2280,684000,257.1181785936136
114,0.3,2,114,2300,690000,138.8362117409025
115,0.3,2,115,2320,696000,227.6531012217089
116,0.3,2,116,2340,702000,163.61899043285015
117,0.3,2,117,2360,708000,224.340532191052
118,0.3,2,118,2380,714000,250.25857466353423
119,0.3,2,119,2400,720000,244.0052152815083
120,0.3,2,120,2420,726000,87.31357442917502
121,0.3,2,121,2440,732000,173.36207791505376
122,0.3,2,122,2460,738000,244.25640817243
123,0.3,2,123,2480,744000,59.4369909740357
124,0.3,2,124,2500,750000,240.41655266985447
125,0.3,2,125,2520,756000,204.68033463942044
126,0.3,2,126,2540,762000,8.096538813171474
127,0.3,2,127,2560,768000,248.0008680228001
128,0.3,2,128,2580,774000,241.12182212958385
129,0.3,2,129,2600,780000,310.021787669987
130,0.3,2,130,2620,786000,227.7023037360997
131,0.3,2,131,2640,792000,155.15976918314212
132,0.3,2,132,2660,798000,330.94535443889265
133,0.3,2,133,2680,804000,306.9828429638494
134,0.3,2,134,2700,810000,301.0329332219043
135,0.3,2,135,2720,816000,56.290298365393085
136,0.3,2,136,2740,822000,-41.04091120265776
137,0.3,2,137,2760,828000,264.6432032212593
138,0.3,2,138,2780,834000,221.3457904093787
139,0.3,2,139,2800,840000,237.23416380507723
140,0.3,2,140,2820,846000,19.730562365943413
141,0.3,2,141,2840,852000,100.81734216358208
142,0.3,2,142,2860,858000,197.9892555796812
143,0.3,2,143,2880,864000,273.2206549909372
144,0.3,2,144,2900,870000,237.19472640567795
145,0.3,2,145,2920,876000,101.57024251182192
146,0.3,2,146,2940,882000,291.0778669707773
147,0.3,2,147,2960,888000,194.46208392569085
148,0.3,2,148,2980,894000,108.32056901072114
149,0.3,2,149,3000,900000,95.88180132079962
150,0.3,2,150,3020,906000,73.69700603940194
151,0.3,2,151,3040,912000,335.452607550458
152,0.3,2,152,3060,918000,164.83786118282268
153,0.3,2,153,3080,924000,198.92496033545848
154,0.3,2,154,3100,930000,152.18362523006124
155,0.3,2,155,3120,936000,300.7099681182236
156,0.3,2,156,3140,942000,90.9308758873224
157,0.3,2,157,3160,948000,336.1231838468228
158,0.3,2,158,3180,954000,189.9112175802568
159,0.3,2,159,3200,960000,-15.170498116228137
160,0.3,2,160,3220,966000,231.1992787919878
161,0.3,2,161,3240,972000,153.43671517994846
162,0.3,2,162,3260,978000,58.80465497551533
163,0.3,2,163,3280,984000,273.82781569170913
164,0.3,2,164,3300,990000,329.869808282832
165,0.3,2,165,3320,996000,302.4803403099651
166,0.3,3,0,20,6000,-22.079905431687287
167,0.3,3,1,40,12000,-11.23787817837841
168,0.3,3,2,60,18000,-25.04702611762809
169,0.3,3,3,80,24000,-10.53191481474028
170,0.3,3,4,100,30000,-140.72385227348917
171,0.3,3,5,120,36000,-18.9537408912291
172,0.3,3,6,140,42000,-22.67076877220661
173,0.3,3,7,160,48000,-19.682992970959106
174,0.3,3,8,180,54000,17.68634177449014
175,0.3,3,9,200,60000,-22.83155693751705
176,0.3,3,10,220,66000,9.6142289481817
177,0.3,3,11,240,72000,18.565586630673995
178,0.3,3,12,260,78000,28.93641522392243
179,0.3,3,13,280,84000,-19.94470670442168
180,0.3,3,14,300,90000,57.58451358281941
181,0.3,3,15,320,96000,-24.34757432751128
182,0.3,3,16,340,102000,81.24638559344977
183,0.3,3,17,360,108000,22.31301155249864
184,0.3,3,18,380,114000,-23.86535147109893
185,0.3,3,19,400,120000,-19.91876771725753
186,0.3,3,20,420,126000,27.7032954766645
187,0.3,3,21,440,132000,27.7032954766645
188,0.3,3,22,460,138000,-18.52191679801504
189,0.3,3,23,480,144000,115.40993386739538
190,0.3,3,24,500,150000,-4.674870576746247
191,0.3,3,25,520,156000,23.597483111813528
192,0.3,3,26,540,162000,52.45535022743567
193,0.3,3,27,560,168000,160.13964947634818
194,0.3,3,28,580,174000,164.08485261476704
195,0.3,3,29,600,180000,193.5613139809866
196,0.3,3,30,620,186000,-17.689519607580916
197,0.3,3,31,640,192000,150.72269161958886
198,0.3,3,32,660,198000,175.10700468593942
199,0.3,3,33,680,204000,-6.725870424609864
200,0.3,3,34,700,210000,133.39190147071358
201,0.3,3,35,720,216000,196.86256665594425
202,0.3,3,36,740,222000,59.40353015422152
203,0.3,3,37,760,228000,137.73874316156005
204,0.3,3,38,780,234000,180.76168242442688
205,0.3,3,39,800,240000,174.96156086072534
206,0.3,3,40,820,246000,165.3912473015784
207,0.3,3,41,840,252000,124.86272518531808
208,0.3,3,42,860,258000,171.10152178536782
209,0.3,3,43,880,264000,215.20965946871587
210,0.3,3,44,900,270000,168.66279228108033
211,0.3,3,45,920,276000,113.47024250924652
212,0.3,3,46,940,282000,263.6499235214805
213,0.3,3,47,960,288000,120.01313839802532
214,0.3,3,48,980,294000,114.95776020430876
215,0.3,3,49,1000,300000,190.3633407067269
216,0.3,3,50,1020,306000,201.5897792879439
217,0.3,3,51,1040,312000,-21.399130534329977
218,0.3,3,52,1060,318000,52.167188173052594
219,0.3,3,53,1080,324000,71.28311648714332
220,0.3,3,54,1100,330000,56.66082424984542
221,0.3,3,55,1120,336000,38.11199356317171
222,0.3,3,56,1140,342000,-27.955294151413653
223,0.3,3,57,1160,348000,223.68385977238296
224,0.3,3,58,1180,354000,55.58631983654453
225,0.3,3,59,1200,360000,254.56389939218155
226,0.3,3,60,1220,366000,253.7797571892468
227,0.3,3,61,1240,372000,251.45382993280296
228,0.3,3,62,1260,378000,123.18215917787852
229,0.3,3,63,1280,384000,247.35006173687256
230,0.3,3,64,1300,390000,0.8555504909703264
231,0.3,3,65,1320,396000,260.1914751778989
232,0.3,3,66,1340,402000,269.3685555810652
233,0.3,3,67,1360,408000,279.7409963471013
234,0.3,3,68,1380,414000,199.3227518790944
235,0.3,3,69,1400,420000,-24.92839831674745
236,0.3,3,70,1420,426000,263.15777434976485
237,0.3,3,71,1440,432000,167.7205440302756
238,0.3,3,72,1460,438000,206.81608529977345
239,0.3,3,73,1480,444000,239.89455972199804
240,0.3,3,74,1500,450000,215.267455441958
241,0.3,3,75,1520,456000,106.26670539272986
242,0.3,3,76,1540,462000,242.03863556329867
243,0.3,3,77,1560,468000,241.3606762308173
244,0.3,3,78,1580,474000,13.73038301733537
245,0.3,3,79,1600,480000,85.71131144659248
246,0.3,3,80,1620,486000,68.86705038545038
247,0.3,3,81,1640,492000,191.98413072854635
248,0.3,3,82,1660,498000,260.1847963565989
249,0.3,3,83,1680,504000,31.629238758569564
250,0.3,3,84,1700,510000,114.71248809348928
251,0.3,3,85,1720,516000,40.08047216476466
252,0.3,3,86,1740,522000,28.51301180273007
253,0.3,3,87,1760,528000,128.99896676564606
254,0.3,3,88,1780,534000,94.68236873125711
255,0.3,3,89,1800,540000,-81.44930465993141
256,0.3,3,90,1820,546000,126.65537994661244
257,0.3,3,91,1840,552000,130.0849301208827
258,0.3,3,92,1860,558000,251.6640406906853
259,0.3,3,93,1880,564000,78.06121063850523
260,0.3,3,94,1900,570000,125.66691981431566
261,0.3,3,95,1920,576000,221.4132731880684
262,0.3,3,96,1940,582000,215.1734488793943
263,0.3,3,97,1960,588000,229.7632865390987
264,0.3,3,98,1980,594000,201.99383027952567
265,0.3,3,99,2000,600000,91.41670675518527
266,0.3,3,100,2020,606000,258.3493423219436
267,0.3,3,101,2040,612000,161.7885406606024
268,0.3,3,102,2060,618000,190.5886808132313
269,0.3,3,103,2080,624000,220.25861111938224
270,0.3,3,104,2100,630000,241.99203279279723
271,0.3,3,105,2120,636000,60.65649317092997
272,0.3,3,106,2140,642000,236.05734706499143
273,0.3,3,107,2160,648000,302.5812742159302
274,0.3,3,108,2180,654000,204.9050670680448
275,0.3,3,109,2200,660000,96.60620610791604
276,0.3,3,110,2220,666000,191.8461851957068
277,0.3,3,111,2240,672000,282.201505589067
278,0.3,3,112,2260,678000,123.60948562999172
279,0.3,3,113,2280,684000,224.02750658888195
280,0.3,3,114,2300,690000,287.75247980879146
281,0.3,3,115,2320,696000,243.303241610954
282,0.3,3,116,2340,702000,260.8742869621634
283,0.3,3,117,2360,708000,230.5426963091156
284,0.3,3,118,2380,714000,263.3116977575754
285,0.3,3,119,2400,720000,269.1756638918881
286,0.3,3,120,2420,726000,263.40358872633925
287,0.3,3,121,2440,732000,261.6249276598498
288,0.3,3,122,2460,738000,218.846495994454
289,0.3,3,123,2480,744000,56.91126605523349
290,0.3,3,124,2500,750000,258.37368757851783
291,0.3,3,125,2520,756000,-0.4187656821864308
292,0.3,3,126,2540,762000,244.65363168697985
293,0.3,3,127,2560,768000,249.2408363188668
294,0.3,3,128,2580,774000,103.60063152217712
295,0.3,3,129,2600,780000,274.87028181662424
296,0.3,3,130,2620,786000,199.58297841225703
297,0.3,3,131,2640,792000,263.0220346877987
298,0.3,3,132,2660,798000,172.29874018346518
299,0.3,3,133,2680,804000,-45.13455521091345
300,0.3,3,134,2700,810000,216.68745610205124
301,0.3,3,135,2720,816000,124.03813039738267
302,0.3,3,136,2740,822000,256.48214715982
303,0.3,3,137,2760,828000,186.638707251879
304,0.3,3,138,2780,834000,192.48568206221665
305,0.3,3,139,2800,840000,278.1290061101361
306,0.3,3,140,2820,846000,270.22051420840035
307,0.3,3,141,2840,852000,253.03917385273903
308,0.3,3,142,2860,858000,226.5336829077812
309,0.3,3,143,2880,864000,76.12175585139457
310,0.3,3,144,2900,870000,220.52808111426947
311,0.3,3,145,2920,876000,309.45297322276326
312,0.3,3,146,2940,882000,108.48245214001028
313,0.3,3,147,2960,888000,287.62786967945544
314,0.3,3,148,2980,894000,204.19440538394105
315,0.3,3,149,3000,900000,186.21389536870143
316,0.3,3,150,3020,906000,268.0106527684222
317,0.3,3,151,3040,912000,276.2529996043157
318,0.3,3,152,3060,918000,228.9127125599084
319,0.3,3,153,3080,924000,175.85960388239096
320,0.3,3,154,3100,930000,203.143713744972
321,0.3,3,155,3120,936000,227.3890746368688
322,0.3,3,156,3140,942000,230.5550776347893
323,0.3,3,157,3160,948000,249.5097222810466
324,0.3,3,158,3180,954000,282.7006965498945
325,0.3,3,159,3200,960000,267.51793086617846
326,0.3,3,160,3220,966000,241.9166406767736
327,0.3,3,161,3240,972000,254.49517666058608
328,0.3,3,162,3260,978000,99.20832750734716
329,0.3,3,163,3280,984000,218.2414264711817
330,0.3,3,164,3300,990000,294.7576269253512
331,0.3,3,165,3320,996000,240.8992874263061
332,0.3,4,0,20,6000,-11.110092194819114
333,0.3,4,1,40,12000,1.8277753925848328
334,0.3,4,2,60,18000,14.174430108835733
335,0.3,4,3,80,24000,-14.056804308339546
336,0.3,4,4,100,30000,-19.94061802270144
337,0.3,4,5,120,36000,23.66146227139985
338,0.3,4,6,140,42000,-9.890232608343494
339,0.3,4,7,160,48000,9.6142289481817
340,0.3,4,8,180,54000,9.590330342408723
341,0.3,4,9,200,60000,9.6142289481817
342,0.3,4,10,220,66000,12.892337386313898
343,0.3,4,11,240,72000,34.00442088905824
344,0.3,4,12,260,78000,-10.046264340094172
345,0.3,4,13,280,84000,-4.64054541655526
346,0.3,4,14,300,90000,-21.86192891584962
347,0.3,4,15,320,96000,81.59077035936397
348,0.3,4,16,340,102000,-35.90034048857701
349,0.3,4,17,360,108000,13.408513286338229
350,0.3,4,18,380,114000,-17.943928790043387
