,accuracy,seed,n_gen,score,elapsed_time
0,0.889,1,0,35323760.339758955,3.8576292991638175
1,0.889,1,1,35432322.32663358,7.536819458007812
2,0.889,1,2,35432322.32663358,11.48056411743164
3,0.889,1,3,35485633.7990362,15.398853540420532
4,0.889,1,4,35550423.03054148,19.178187608718872
5,0.889,1,5,35550423.03054148,22.954913854599
6,0.889,1,6,35550423.03054148,26.7229106426239
7,0.889,1,7,35550423.03054148,30.376982927322388
8,0.889,1,8,35553096.11115085,34.18170118331909
9,0.889,1,9,35553096.11115085,37.98367285728455
10,0.889,1,10,35553096.11115085,41.52065944671631
11,0.889,2,0,35309448.70464581,3.39111590385437
12,0.889,2,1,35557900.24016239,6.97002100944519
13,0.889,2,2,35557900.24016239,10.401907205581663
14,0.889,2,3,35557900.24016239,13.989724159240724
15,0.889,2,4,35557900.24016239,17.36772918701172
16,0.889,2,5,35557900.24016239,20.700172662734985
17,0.889,2,6,35557900.24016239,24.174172401428223
18,0.889,2,7,35557900.24016239,27.57451057434082
19,0.889,2,8,35557900.24016239,31.064611673355103
20,0.889,2,9,35557900.24016239,34.66333055496216
21,0.889,2,10,35557900.24016239,38.07284116744995
22,0.889,2,11,35557900.24016239,41.51518774032593
23,0.889,3,0,35253089.233387224,3.3412973880767822
24,0.889,3,1,35253089.233387224,6.857383489608765
25,0.889,3,2,35789079.94899768,10.4984712600708
26,0.889,3,3,35789079.94899768,14.096776962280272
27,0.889,3,4,35789079.94899768,17.872642040252686
28,0.889,3,5,35789079.94899768,21.542887210845947
29,0.889,3,6,35789079.94899768,25.177627086639404
30,0.889,3,7,35789079.94899768,28.76138710975647
31,0.889,3,8,35789079.94899768,32.61802935600281
32,0.889,3,9,36256632.64638475,36.2480263710022
33,0.889,3,10,36256632.64638475,39.999903202056885
34,0.889,4,0,34726060.979947455,3.806757688522339
35,0.889,4,1,35811363.730822906,7.325109958648682
36,0.889,4,2,35847741.71095673,10.953754186630247
37,0.889,4,3,35847741.71095673,14.58755874633789
38,0.889,4,4,35847741.71095673,18.30028367042541
39,0.889,4,5,35847741.71095673,21.83269834518433
40,0.889,4,6,35847741.71095673,25.439303636550903
41,0.889,4,7,36510621.89335186,29.02742862701416
42,0.889,4,8,36510621.89335186,32.71157693862915
43,0.889,4,9,36510621.89335186,36.43977379798889
44,0.889,4,10,36510621.89335186,40.07323408126831
45,0.889,5,0,36176217.498365335,3.719494819641113
46,0.889,5,1,36506992.32585243,7.411216497421265
47,0.889,5,2,36506992.32585243,11.361499547958374
48,0.889,5,3,36506992.32585243,14.984166622161863
49,0.889,5,4,36506992.32585243,18.645911693573
50,0.889,5,5,36506992.32585243,22.37367153167725
51,0.889,5,6,36506992.32585243,26.139704942703247
52,0.889,5,7,36506992.32585243,29.945080757141117
53,0.889,5,8,36506992.32585243,33.65393924713135
54,0.889,5,9,36506992.32585243,37.25985503196716
55,0.889,5,10,36506992.32585243,40.95956802368164
56,0.889,6,0,35131345.78449108,3.6769962310791016
57,0.889,6,1,35158508.12282228,7.424546957015991
58,0.889,6,2,35280789.09679422,11.18753457069397
59,0.889,6,3,35280789.09679422,14.801727533340454
60,0.889,6,4,35280789.09679422,18.424238443374637
61,0.889,6,5,35280789.09679422,22.2683219909668
62,0.889,6,6,35924071.3909904,25.8105263710022
63,0.889,6,7,35924071.3909904,29.46560859680176
64,0.889,6,8,35924071.3909904,33.123207807540894
65,0.889,6,9,35924071.3909904,36.74940824508667
66,0.889,6,10,35924071.3909904,40.31450605392456
67,0.889,7,0,36202435.44563721,3.675485610961914
68,0.889,7,1,36202435.44563721,7.453921556472778
69,0.889,7,2,36202435.44563721,11.137755155563354
70,0.889,7,3,36202435.44563721,14.679031372070312
71,0.889,7,4,36202435.44563721,18.23142981529236
72,0.889,7,5,36202435.44563721,21.922195196151733
73,0.889,7,6,36202435.44563721,25.66128396987915
74,0.889,7,7,36202435.44563721,29.33967638015747
75,0.889,7,8,36202435.44563721,32.88490653038025
76,0.889,7,9,36202435.44563721,36.45316672325134
77,0.889,7,10,36202435.44563721,40.06242871284485
78,0.889,8,0,34644142.27249224,3.639284372329712
79,0.889,8,1,34644142.27249224,7.3324875831604
80,0.889,8,2,35355119.084050395,10.880523204803469
81,0.889,8,3,36435757.06294163,14.563935041427612
82,0.889,8,4,36435757.06294163,18.281333923339844
83,0.889,8,5,36716802.201017305,22.0880765914917
84,0.889,8,6,36716802.201017305,25.7030885219574
85,0.889,8,7,36716802.201017305,29.356775522232056
86,0.889,8,8,36716802.201017305,33.02749943733215
87,0.889,8,9,36716802.201017305,36.72281551361084
88,0.889,8,10,36716802.201017305,40.41764712333679
89,0.889,9,0,35540052.65669111,3.6585853099823
90,0.889,9,1,35540052.65669111,7.346919536590576
91,0.889,9,2,35540052.65669111,10.924200296401978
92,0.889,9,3,36489185.93025618,14.670700550079346
93,0.889,9,4,36489185.93025618,18.356313228607178
94,0.889,9,5,36489185.93025618,22.185827016830444
95,0.889,9,6,36489185.93025618,25.918575286865234
96,0.889,9,7,36489185.93025618,29.610671758651733
97,0.889,9,8,36489185.93025618,33.38182711601257
98,0.889,9,9,36489185.93025618,37.15559387207031
99,0.889,9,10,36489185.93025618,40.80967426300049
100,0.889,10,0,34037376.051409,3.66394305229187
101,0.889,10,1,34504719.50247195,7.411831617355347
102,0.889,10,2,35858481.02369231,11.051711320877075
103,0.889,10,3,35893016.179452464,14.854802370071411
104,0.889,10,4,35893016.179452464,18.5936131477356
105,0.889,10,5,35893016.179452464,22.357012271881104
106,0.889,10,6,35996504.650502086,25.969269514083862
107,0.889,10,7,35996504.650502086,29.71930980682373
108,0.889,10,8,35996504.650502086,33.427807331085205
109,0.889,10,9,35996504.650502086,37.05184578895569
110,0.889,10,10,35996504.650502086,40.633509159088135
111,0.889,11,0,33800527.6432942,3.690179109573364
112,0.889,11,1,35103447.623635225,7.436220169067383
113,0.889,11,2,36012315.42481824,11.058834791183472
114,0.889,11,3,36012315.42481824,14.70525574684143
115,0.889,11,4,36012315.42481824,18.392166137695312
116,0.889,11,5,36012315.42481824,21.99812078475952
117,0.889,11,6,36012315.42481824,25.76420497894287
118,0.889,11,7,36012315.42481824,29.39510989189148
119,0.889,11,8,36012315.42481824,33.16269564628601
120,0.889,11,9,36012315.42481824,36.96706342697144
121,0.889,11,10,36012315.42481824,40.54673671722412
122,0.889,12,0,34711815.741597086,3.74386215209961
123,0.889,12,1,35450450.81633303,7.4448161125183105
124,0.889,12,2,35450450.81633303,11.008004903793337
125,0.889,12,3,35450450.81633303,14.673918962478638
126,0.889,12,4,35645913.81340682,18.428486108779907
127,0.889,12,5,35645913.81340682,22.174821376800537
128,0.889,12,6,35645913.81340682,25.9235200881958
129,0.889,12,7,35645913.81340682,29.610965490341187
130,0.889,12,8,35645913.81340682,33.316150188446045
131,0.889,12,9,35645913.81340682,36.964354276657104
132,0.889,12,10,35645913.81340682,40.84081935882568
133,0.889,13,0,36368929.35263738,3.730984687805176
134,0.889,13,1,36368929.35263738,7.5356125831604
135,0.889,13,2,36368929.35263738,11.267799139022827
136,0.889,13,3,36368929.35263738,14.959215879440308
137,0.889,13,4,36368929.35263738,18.689490795135494
138,0.889,13,5,36368929.35263738,22.35941195487976
139,0.889,13,6,36368929.35263738,26.02045774459839
140,0.889,13,7,36368929.35263738,29.72165369987488
