,accuracy,seed,n_gen,score,elapsed_time
0,0.1120000000000001,1,0,35323760.339758955,1.744354248046875
1,0.1120000000000001,1,1,35323760.339758955,3.4646432399749756
2,0.1120000000000001,1,2,35323760.339758955,5.059583902359009
3,0.1120000000000001,1,3,35323760.339758955,6.6956422328948975
4,0.1120000000000001,1,4,35784749.53944766,8.409916400909424
5,0.1120000000000001,1,5,35784749.53944766,10.198588132858276
6,0.1120000000000001,1,6,35784749.53944766,11.972638607025146
7,0.1120000000000001,1,7,35784749.53944766,13.63593339920044
8,0.1120000000000001,1,8,35784749.53944766,15.264684200286865
9,0.1120000000000001,1,9,35947790.98403098,16.927436590194702
10,0.1120000000000001,1,10,35947790.98403098,18.617021083831787
11,0.1120000000000001,1,11,36324903.60822857,20.37091588973999
12,0.1120000000000001,1,12,36324903.60822857,22.128325939178467
13,0.1120000000000001,1,13,36324903.60822857,23.746516942977905
14,0.1120000000000001,1,14,36324903.60822857,25.387580633163452
15,0.1120000000000001,1,15,36324903.60822857,27.043899297714233
16,0.1120000000000001,1,16,36324903.60822857,28.725722074508667
17,0.1120000000000001,1,17,36324903.60822857,30.37049174308777
18,0.1120000000000001,1,18,36324903.60822857,32.03722143173218
19,0.1120000000000001,1,19,36324903.60822857,33.69166445732117
20,0.1120000000000001,1,20,36324903.60822857,35.34362459182739
21,0.1120000000000001,1,21,36324903.60822857,36.97648286819458
22,0.1120000000000001,1,22,36324903.60822857,38.65334415435791
23,0.1120000000000001,1,23,36324903.60822857,40.342719316482544
24,0.1120000000000001,2,0,35309448.70464581,1.7694494724273682
25,0.1120000000000001,2,1,35309448.70464581,3.5182230472564697
26,0.1120000000000001,2,2,35309448.70464581,5.263256311416626
27,0.1120000000000001,2,3,35309448.70464581,7.035690546035767
28,0.1120000000000001,2,4,35309448.70464581,8.688636302947998
29,0.1120000000000001,2,5,35404005.431255855,10.341363430023193
30,0.1120000000000001,2,6,35367196.38575882,12.038164854049683
31,0.1120000000000001,2,7,35367196.38575882,13.728947162628174
32,0.1120000000000001,2,8,35367196.38575882,15.527413368225098
33,0.1120000000000001,2,9,35367196.38575882,17.2305691242218
34,0.1120000000000001,2,10,35551163.414146416,18.902430295944214
35,0.1120000000000001,2,11,35551163.414146416,20.52392601966858
36,0.1120000000000001,2,12,35706525.8549998,22.143988132476807
37,0.1120000000000001,2,13,35706525.8549998,23.83707046508789
38,0.1120000000000001,2,14,35809365.37449654,25.550958156585693
39,0.1120000000000001,2,15,35809365.37449654,27.275180339813232
40,0.1120000000000001,2,16,35809365.37449654,28.84715723991394
41,0.1120000000000001,2,17,35809365.37449654,30.49773621559143
42,0.1120000000000001,2,18,35809365.37449654,32.23729348182678
43,0.1120000000000001,2,19,35809365.37449654,33.96346855163574
44,0.1120000000000001,2,20,35809365.37449654,35.706562519073486
45,0.1120000000000001,2,21,35809365.37449654,37.472251653671265
46,0.1120000000000001,2,22,35809365.37449654,39.33721899986267
47,0.1120000000000001,2,23,35809365.37449654,41.16847109794617
48,0.1120000000000001,3,0,35253089.233387224,1.746708869934082
49,0.1120000000000001,3,1,35253089.233387224,3.5147666931152344
50,0.1120000000000001,3,2,36363082.760391414,5.218330144882202
51,0.1120000000000001,3,3,36363082.760391414,6.8623621463775635
52,0.1120000000000001,3,4,36363082.760391414,8.65235710144043
